12/11/2024                                                                                                                                                                               Dynamic List Display                                                                                                                                                                                       1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTL Direct Material Stock Report,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Material,Material,Customer,Material description,Size,Unit/Strip,Plant,SLOC,Batch,Revision,Shipment Date,Shipment,Ship No.,Vendor Batch,Manu.Date,Shlf.Date,GR.Date,Vendor,Vendor Name,QI.Qty.,Unres.Qty.,Reserve Qty.,Available Qty.,Block Qty., Total,Remark,Manufacturer
,PZ0031-UTL,PZ0031,UTL,ABLEBOND RP-751-3D (8200T),8200T,,130,DC02,12398472,,12/06/2024,196772013/02 (30CC),061224196772013/02 (30CC),1B4LAA8272,11/14/2024,11/14/2025,12/06/2024,20012,HENKEL KOREA LTD.,0,164,0,164,0,164,,
,PZ0031-UTL,PZ0031,UTL,ABLEBOND RP-751-3D (8200T),8200T,,130,DC04,12398481,,12/06/2024,196772013/03 (30CC),061224196772013/03 (30CC),1B4LAA8271,12/06/2024,11/14/2025,12/06/2024,20012,HENKEL KOREA LTD.,0,358,0,358,0,358,,
,PZ0031-UTL,PZ0031,UTL,ABLEBOND RP-751-3D (8200T),8200T,,120,DR09,12398624,,12/06/2024,196772014/10,061224196772014/10,1B4LAB8278,11/14/2024,11/14/2025,12/06/2024,20012,HENKEL KOREA LTD.,0,116,0,116,0,116,,-
,PZ0031-UTL,PZ0031,UTL,ABLEBOND RP-751-3D (8200T),8200T,,120,DR09,12398635,,12/06/2024,196772014/11,061224196772014/11,1B4LAB8272,11/14/2024,11/14/2025,12/06/2024,20012,HENKEL KOREA LTD.,0,196,0,196,0,196,,-
,PZ0031-UTL,PZ0031,UTL,ABLEBOND RP-751-3D (8200T),8200T,,120,DR09,12398646,,12/06/2024,196772014/12,061224196772014/12,1B4LAA8278,11/14/2024,11/14/2025,12/06/2024,20012,HENKEL KOREA LTD.,0,242,0,242,0,242,,-
,PZ0031-UTL,PZ0031,UTL,ABLEBOND RP-751-3D (8200T),8200T,,140,DA02,12398654,,12/06/2024,196772014/13,061224196772014/13,1B4LAA8276,11/14/2024,11/14/2025,12/06/2024,20012,HENKEL KOREA LTD.,0,361,0,361,0,361,,-
,PZ0031-UTL,PZ0031,UTL,ABLEBOND RP-751-3D (8200T),8200T,,140,DA01,12395338,,12/03/2024,196772012/01 (30C),031224196772012/01 (30C),1B4LAA8274,11/25/2024,11/25/2025,12/03/2024,20012,HENKEL KOREA LTD.,0,288,0,288,0,288,,-
,PZ0031-UTL,PZ0031,UTL,ABLEBOND RP-751-3D (8200T),8200T,,140,DA01,12395341,,12/03/2024,196772012/02 (30C),031224196772012/02 (30C),1B4LAA8275,11/25/2024,11/25/2025,12/03/2024,20012,HENKEL KOREA LTD.,0,348,0,348,0,348,,-
,PZ0031-UTL,PZ0031,UTL,ABLEBOND RP-751-3D (8200T),8200T,,140,DA01,12395342,,12/03/2024,196772012/03 (30C),031224196772012/03 (30C),1B4LAB8273,11/25/2024,11/25/2025,12/03/2024,20012,HENKEL KOREA LTD.,0,283,0,283,0,283,,-
,PZ0031-UTL,PZ0031,UTL,ABLEBOND RP-751-3D (8200T),8200T,,140,DA02,12398664,,12/06/2024,196772014/14,061224196772014/14,1B4LAA8273,11/25/2024,11/25/2025,12/06/2024,20012,HENKEL KOREA LTD.,0,84,0,84,0,84,,-
,PZ0035-UTL,PZ0035,UTL,ABLEBOND RP-801-2B (8600),8600 ( RP-801-2B ),,130,RP22,10758459,,11/30/2022,92685235/02 (30C),30112292685235/02 (30C),1B2LAA7856,11/17/2022,11/17/2023,12/01/2022,20012,HENKEL KOREA LTD.,0,0,0,0,95,95,,
,PZ0035-UTL,PZ0035,UTL,ABLEBOND RP-801-2B (8600),8600 ( RP-801-2B ),,130,DC01,12208031,-,08/31/2024,196712937/03 (30CC),310824196712937/03 (30CC),1B4HAB4657,08/22/2024,08/22/2025,09/01/2024,20012,HENKEL KOREA LTD.,0,19,0,19,0,19,,-
,PZ0035-UTL,PZ0035,UTL,ABLEBOND RP-801-2B (8600),8600 ( RP-801-2B ),,130,DC04,12215052,-,09/04/2024,196714714/01 30CC,040924196714714/01 30CC,1B4HAA4655,08/26/2024,08/26/2025,09/05/2024,20012,HENKEL KOREA LTD.,0,104,0,104,0,104,,-
,PZ0035-UTL,PZ0035,UTL,ABLEBOND RP-801-2B (8600),8600 ( RP-801-2B ),,140,DA03,12215049,-,09/04/2024,196714707/03,040924196714707/03,1B4HAA4665,08/27/2024,08/27/2025,09/05/2024,20012,HENKEL KOREA LTD.,0,241,0,241,0,241,,-
,PZ0035-UTL,PZ0035,UTL,ABLEBOND RP-801-2B (8600),8600 ( RP-801-2B ),,130,DC01,12277999,,10/03/2024,196735172/01 (30CC),031024196735172/01 (30CC),1B4JAB5711,09/19/2024,09/19/2025,10/04/2024,20012,HENKEL KOREA LTD.,0,210,0,210,0,210,,
,PZ0035-UTL,PZ0035,UTL,ABLEBOND RP-801-2B (8600),8600 ( RP-801-2B ),,130,DC01,12278006,,10/03/2024,196735172/02 (30CC),031024196735172/02 (30CC),1B4JAA5712,09/19/2024,09/20/2025,10/04/2024,20012,HENKEL KOREA LTD.,0,308,0,308,0,308,,
,PZ0035-UTL,PZ0035,UTL,ABLEBOND RP-801-2B (8600),8600 ( RP-801-2B ),,130,DC02,12278328,,10/03/2024,196735174/03 (30CC),031024196735174/03 (30CC),1B4JAA5715,09/20/2024,09/20/2025,10/04/2024,20012,HENKEL KOREA LTD.,0,307,0,307,0,307,,
,PZ0035-UTL,PZ0035,UTL,ABLEBOND RP-801-2B (8600),8600 ( RP-801-2B ),,140,DA03,12277923,,10/03/2024,196735178/03 (30CC),031024196735178/03 (30CC),1B4JAA5717,09/23/2024,09/23/2025,10/04/2024,20012,HENKEL KOREA LTD.,0,307,0,307,0,307,,-
,PZ0035-UTL,PZ0035,UTL,ABLEBOND RP-801-2B (8600),8600 ( RP-801-2B ),,140,DA02,12301594,,10/15/2024,196741235/01 (30C),151024196741235/01 (30C),1B4KAA7212,10/02/2024,10/02/2025,10/16/2024,20012,HENKEL KOREA LTD.,0,308,0,308,0,308,,-
,PZ0035-UTL,PZ0035,UTL,ABLEBOND RP-801-2B (8600),8600 ( RP-801-2B ),,120,DR03,12303464,,10/16/2024,196741237/01 (30C),161024196741237/01 (30C),1B4KAA5718,10/02/2024,10/02/2025,10/17/2024,20012,HENKEL KOREA LTD.,0,60,0,60,0,60,,-
,PZ0035-UTL,PZ0035,UTL,ABLEBOND RP-801-2B (8600),8600 ( RP-801-2B ),,120,DR03,12303467,,10/16/2024,196741237/02 (30C),161024196741237/02 (30C),1B4KAA7213,10/02/2024,10/02/2025,10/17/2024,20012,HENKEL KOREA LTD.,0,307,0,307,0,307,,-
