11/13/2024                                                                                                                                                                                                                          Dynamic List Display                                                                                                                                                                                                                                 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTL Direct Material Stock Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Material,Material,Customer,Material description,Size,Unit/Strip,Plant,SLOC,Batch,Extend Shelf life,Number Extend,Revision,Shipment Date,Shipment,Ship No.,X-Out,Vendor Batch,Manu.Date,Shlf.Date,GR.Date,Vendor,Vendor Name,      QI.Qty.,   Unres.Qty., Reserve Qty.,Available Qty.,    Block Qty.,         Total,Remark,AUn,Conversion1,Manufacturer
,CZ0288-ADI,CZ0288,ADI,"G700LTD, 14MMX5.9G","G700LTD, 14mm x 5.9g",,120,DC50,12289731,,0,,10/9/2024,SBS0241105844/02,091024SBS0241105844/02,,4092028,9/6/2024,3/5/2025,10/9/2024,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,465,0,465,0,465,,KG,1 KG = 1 KG,-
,CZ0288-ADI,CZ0288,ADI,"G700LTD, 14MMX5.9G","G700LTD, 14mm x 5.9g",,120,DC50,12303424,,0,,10/16/2024,SBS0241106065/01(15KG),161024SBS0241106065/01(15KG),,4092028,9/6/2024,3/5/2025,10/17/2024,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,840,0,840,0,840,,KG,1 KG = 1 KG,
,CZ0288-ADI,CZ0288,ADI,"G700LTD, 14MMX5.9G","G700LTD, 14mm x 5.9g",,120,DC42,12303431,,0,,10/16/2024,SBS0241106065/02(15KG),161024SBS0241106065/02(15KG),,4092030,9/7/2024,3/6/2025,10/17/2024,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,360,0,360,0,360,,KG,1 KG = 1 KG,
,CZ0288-UTL,CZ0288,UTL,"G700LTD, 14MMX5.9G","G700LTD, 14mm x 5.9g",,120,RP61,10421883,,0,,8/5/2022,SBS0221104942/01(15KG),050822SBS0221104942/01(15KG),,2062239,06/24/2022,12/23/2022,8/5/2022,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,0,0,0,165,165,,KG,1 KG = 1 KG,
,CZ0288-UTL,CZ0288,UTL,"G700LTD, 14MMX5.9G","G700LTD, 14mm x 5.9g",,120,DC45,12260890,,0,,09/25/2024,SBS0241105349/01(15KG),250924SBS0241105349/01(15KG),,4072206,07/31/2024,01/30/2025,09/25/2024,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,15,0,15,0,15,,KG,1 KG = 1 KG,
,CZ0288-UTL,CZ0288,UTL,"G700LTD, 14MMX5.9G","G700LTD, 14mm x 5.9g",,120,DC42,12260891,,0,,09/25/2024,SBS0241105349/02(15KG),250924SBS0241105349/02(15KG),,4072209,07/31/2024,01/30/2025,09/25/2024,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,"1,185.00",0,"1,185.00",0,"1,185.00",,KG,1 KG = 1 KG,
,CZ0288-UTL,CZ0288,UTL,"G700LTD, 14MMX5.9G","G700LTD, 14mm x 5.9g",,120,DC63,12274810,,0,,10/2/2024,SBS0241105588/01,021024SBS0241105588/01,,4072209,07/31/2024,01/30/2025,10/3/2024,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,"1,140.00",0,"1,140.00",0,"1,140.00",,KG,1 KG = 1 KG,-
,CZ0288-UTL,CZ0288,UTL,"G700LTD, 14MMX5.9G","G700LTD, 14mm x 5.9g",,120,DC59,12274811,,0,,10/2/2024,SBS0241105588/02,021024SBS0241105588/02,,4072210,07/31/2024,01/30/2025,10/3/2024,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,525,0,525,0,525,,KG,1 KG = 1 KG,-
,CZ0288-UTL,CZ0288,UTL,"G700LTD, 14MMX5.9G","G700LTD, 14mm x 5.9g",,120,DC59,12274812,,0,,10/2/2024,SBS0241105588/03,021024SBS0241105588/03,,4082002,8/1/2024,01/31/2025,10/3/2024,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,135,0,135,0,135,,KG,1 KG = 1 KG,-
,CZ0288-UTL,CZ0288,UTL,"G700LTD, 14MMX5.9G","G700LTD, 14mm x 5.9g",,120,DC42,12315922,,0,,10/23/2024,SBS0241106359/01(15KG),231024SBS0241106359/01(15KG),,4092030,9/7/2024,3/6/2025,10/23/2024,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,"1,500.00",0,"1,500.00",0,"1,500.00",,KG,1 KG = 1 KG,
,CZ0288-UTL,CZ0288,UTL,"G700LTD, 14MMX5.9G","G700LTD, 14mm x 5.9g",,120,DC41,12330788,,0,,10/30/2024,SBS0241106583/01,301024SBS0241106583/01,,4092030,9/7/2024,3/6/2025,10/31/2024,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,435,0,435,0,435,,KG,1 KG = 1 KG,-
,CZ0288-UTL,CZ0288,UTL,"G700LTD, 14MMX5.9G","G700LTD, 14mm x 5.9g",,120,DC42,12330792,,0,,10/30/2024,SBS0241106583/02,301024SBS0241106583/02,,4092149,09/22/2024,03/21/2025,10/31/2024,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,"1,065.00",0,"1,065.00",0,"1,065.00",,KG,1 KG = 1 KG,-
,CZ0288-UTL,CZ0288,UTL,"G700LTD, 14MMX5.9G","G700LTD, 14mm x 5.9g",,120,DC43,12335308,,0,,11/6/2024,SBS0241106760/01,061124SBS0241106760/01,,4092149,09/22/2024,03/21/2025,11/6/2024,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,210,0,210,0,210,,KG,1 KG = 1 KG,-
,CZ0288-UTL,CZ0288,UTL,"G700LTD, 14MMX5.9G","G700LTD, 14mm x 5.9g",,120,DC40,12335311,,0,,11/6/2024,SBS0241106760/02,061124SBS0241106760/02,,4092190,09/27/2024,03/26/2025,11/6/2024,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,"1,290.00",0,"1,290.00",0,"1,290.00",,KG,1 KG = 1 KG,-
,CZ0289-UTL,CZ0289,UTL,"G700LTD, 14MMX6.7G","G700LTD, 14mm x 6.7g",,120,DC60,12274816,,0,,10/2/2024,SBS0241105589/02,021024SBS0241105589/02,,4082131,08/24/2024,02/23/2025,10/3/2024,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,420,0,420,0,420,,KG,1 KG = 1 KG,-
,CZ0289-UTL,CZ0289,UTL,"G700LTD, 14MMX6.7G","G700LTD, 14mm x 6.7g",,120,DC43,12289734,,0,,10/9/2024,SBS0241105845/01,091024SBS0241105845/01,,4082131,08/24/2024,02/23/2025,10/9/2024,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,105,0,105,0,105,,KG,1 KG = 1 KG,-
,CZ0289-UTL,CZ0289,UTL,"G700LTD, 14MMX6.7G","G700LTD, 14mm x 6.7g",,120,DC48,12289736,,0,,10/9/2024,SBS0241105845/02,091024SBS0241105845/02,,4092026,9/6/2024,3/5/2025,10/9/2024,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,"1,095.00",0,"1,095.00",0,"1,095.00",,KG,1 KG = 1 KG,-
,CZ0289-UTL,CZ0289,UTL,"G700LTD, 14MMX6.7G","G700LTD, 14mm x 6.7g",,120,DC41,12303400,,0,,10/16/2024,SBS0241106125/01(15KG),161024SBS0241106125/01(15KG),,4092026,9/6/2024,3/5/2025,10/17/2024,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,"1,185.00",0,"1,185.00",0,"1,185.00",,KG,1 KG = 1 KG,
,CZ0289-UTL,CZ0289,UTL,"G700LTD, 14MMX6.7G","G700LTD, 14mm x 6.7g",,120,DC44,12303403,,0,,10/16/2024,SBS0241106125/02(15KG),161024SBS0241106125/02(15KG),,4092027,9/6/2024,3/5/2025,10/17/2024,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,330,0,330,0,330,,KG,1 KG = 1 KG,
,CZ0289-UTL,CZ0289,UTL,"G700LTD, 14MMX6.7G","G700LTD, 14mm x 6.7g",,120,DC44,12315924,,0,,10/23/2024,SBS0241106357/01(15KG),231024SBS0241106357/01(15KG),,4092027,9/6/2024,3/5/2025,10/23/2024,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,285,0,285,0,285,,KG,1 KG = 1 KG,
,CZ0289-UTL,CZ0289,UTL,"G700LTD, 14MMX6.7G","G700LTD, 14mm x 6.7g",,120,DC44,12315925,,0,,10/23/2024,SBS0241106356/01(15KG),231024SBS0241106356/01(15KG),,4092027,9/6/2024,3/5/2025,10/23/2024,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,360,0,360,0,360,,KG,1 KG = 1 KG,
,CZ0289-UTL,CZ0289,UTL,"G700LTD, 14MMX6.7G","G700LTD, 14mm x 6.7g",,120,DC42,12330776,,0,,10/30/2024,SBS0241106582/01,301024SBS0241106582/01,,4092027,9/6/2024,3/5/2025,10/31/2024,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,"1,275.00",0,"1,275.00",0,"1,275.00",,KG,1 KG = 1 KG,-
,CZ0289-UTL,CZ0289,UTL,"G700LTD, 14MMX6.7G","G700LTD, 14mm x 6.7g",,120,DC45,12330780,,0,,10/30/2024,SBS0241106582/02,301024SBS0241106582/02,,4092029,9/6/2024,3/5/2025,10/31/2024,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,345,0,345,0,345,,KG,1 KG = 1 KG,-
,CZ0289-UTL,CZ0289,UTL,"G700LTD, 14MMX6.7G","G700LTD, 14mm x 6.7g",,120,DC49,12335304,,0,,11/6/2024,SBS0241106759/01,061124SBS0241106759/01,,4092029,9/6/2024,3/5/2025,11/6/2024,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,660,0,660,0,660,,KG,1 KG = 1 KG,-
